route_id,unique_id,service_start_date,update_origin,train_platform,working_time_arrival,working_time_departure,planned_time_arrival,planned_time_departure,platform,train_length,actual_arrival_time,actual_departure_time,is_delayed_arrival,is_delayed_departure,StationName,Easting,Northing
202307277196374,G96374,2023-07-27,TD,ELTHAM,2023-07-27 21:10:00,2023-07-27 21:11:00,2023-07-27 21:10:00,2023-07-27 21:11:00,2,8,2023-07-27 21:10:00,2023-07-27 21:11:00,False,False,Eltham Rail Station,542700.0,174960.0
202307277196374,G96374,2023-07-27,TD,FALCNWD,2023-07-27 21:13:30,2023-07-27 21:14:00,2023-07-27 21:14:00,2023-07-27 21:14:00,2,8,2023-07-27 21:14:00,2023-07-27 21:14:00,False,False,Falconwood Rail Station,544553.0,175403.0
202307277196374,G96374,2023-07-27,TD,WELLING,2023-07-27 21:16:00,2023-07-27 21:16:30,2023-07-27 21:16:00,2023-07-27 21:16:00,2,8,2023-07-27 21:16:00,2023-07-27 21:16:00,False,False,Welling Rail Station,546090.0,176075.0
202307277125903,G25903,2023-07-27,TD,SMTHKRS,2023-07-27 22:46:30,2023-07-27 22:47:30,2023-07-27 22:47:00,2023-07-27 22:47:00,2,4,2023-07-27 22:47:00,2023-07-27 22:47:00,False,False,Smethwick Rolfe Street Rail Station,402090.0,288720.0
202307278954695,Y54695,2023-07-27,TD,BURGESH,2023-07-27 19:24:00,2023-07-27 19:25:00,2023-07-27 19:24:00,2023-07-27 19:25:00,1,12,2023-07-27 19:24:00,2023-07-27 19:25:00,False,False,Burgess Hill Rail Station,531625.0,118805.0
202307278954506,Y54506,2023-07-27,TD,ECROYDN,2023-07-27 19:35:30,2023-07-27 19:36:30,2023-07-27 19:36:00,2023-07-27 19:36:00,6,12,2023-07-27 19:43:00,2023-07-27 19:44:00,False,False,East Croydon Rail Station,532841.0,165770.0
202307278954506,Y54506,2023-07-27,TD,SCROYDN,2023-07-27 19:38:30,2023-07-27 19:39:00,2023-07-27 19:39:00,2023-07-27 19:39:00,4,12,2023-07-27 19:46:00,2023-07-27 19:46:00,False,False,South Croydon Rail Station,532830.0,164380.0
202307278954506,Y54506,2023-07-27,TD,PURLEY,2023-07-27 19:42:30,2023-07-27 19:43:30,2023-07-27 19:43:00,2023-07-27 19:43:00,4,12,2023-07-27 19:50:00,2023-07-27 19:50:00,False,False,Purley Rail Station,531470.0,161520.0
202307278954506,Y54506,2023-07-27,TD,COLSDNS,2023-07-27 19:46:30,2023-07-27 19:47:30,2023-07-27 19:47:00,2023-07-27 19:47:00,2,12,2023-07-27 19:53:00,2023-07-27 19:54:00,False,False,Coulsdon South Rail Station,529870.0,159060.0
202307278954506,Y54506,2023-07-27,TD,MERSTHM,2023-07-27 19:52:30,2023-07-27 19:53:00,2023-07-27 19:53:00,2023-07-27 19:53:00,2,12,2023-07-27 19:59:00,2023-07-27 19:59:00,False,False,Merstham Rail Station,529155.0,153291.0
202307278954506,Y54506,2023-07-27,TD,REDHILL,2023-07-27 19:56:30,2023-07-27 19:57:30,2023-07-27 19:57:00,2023-07-27 19:57:00,3,12,2023-07-27 20:03:00,2023-07-27 20:03:00,False,False,Redhill Rail Station,528128.0,150600.0
202307278954506,Y54506,2023-07-27,TD,EARLSWD,2023-07-27 19:59:30,2023-07-27 20:00:00,2023-07-27 20:00:00,2023-07-27 20:00:00,2,12,2023-07-27 20:05:00,2023-07-27 20:06:00,False,False,Earlswood (Surrey) Rail Station,527820.0,149160.0
202307278954506,Y54506,2023-07-27,TD,SALFDS,2023-07-27 20:03:00,2023-07-27 20:03:30,2023-07-27 20:03:00,2023-07-27 20:03:00,2,12,2023-07-27 20:09:00,2023-07-27 20:09:00,False,False,Salfords (Surrey) Rail Station,528473.0,146330.0
202307278954506,Y54506,2023-07-27,TD,HORLEY,2023-07-27 20:06:30,2023-07-27 20:07:00,2023-07-27 20:07:00,2023-07-27 20:07:00,2,12,2023-07-27 20:12:00,2023-07-27 20:13:00,False,False,Horley Rail Station,528665.0,142666.0
